p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position,age,cumulative_minutes_played,cumulative_games_played,minutes_per_game_prev_seasons,avg_days_injured_prev_seasons,avg_games_per_season_prev_seasons,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season
aaronramsey,2016,122,436,1329,23,24,4692,75,12/26/1990,181,74,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,26,1329,23,57.78260869565217,122,23,22.587833094227893,4,3,1,436,122
aaronramsey,2017,44,436,1945,24,24,4692,75,12/26/1990,181,74,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,27,2658,46,57.78260869565217,122,23,22.587833094227893,4,3,1,872,122
aaronramsey,2017,44,436,1945,24,24,4692,75,12/26/1990,181,74,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,27,4603,70,65.75714285714285,96,23.333333333333332,22.587833094227893,4,3,0,1308,44
aaronramsey,2018,157,436,1418,28,31,4692,75,12/26/1990,181,74,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,28,6548,94,69.65957446808511,83,23.5,22.587833094227893,4,3,0,1744,44
aaronramsey,2018,157,436,1418,28,31,4692,75,12/26/1990,181,74,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,28,7966,122,65.29508196721312,97.8,24.4,22.587833094227893,4,3,1,2180,157
abdelhamidsabiri,2018,95,178,48,2,2,282,7,11/28/1996,186,80,Germany,Medium/Medium,70.75,64,65,Midfielder,22,,,,,,23.12406058503873,3,3,,,
aboubakarkamara,2018,42,124,745,13,17,1102,24,3/7/1995,177,78.5,France,High/Medium,75.83333333333333,67.33333333333333,67.33333333333333,Forward,23,,,,,,25.056656771681187,3.5,2,,,
adamfederici,2016,157,365,190,2,22,190,2,1/31/1985,188,90,Australia,Medium/Medium,,,72,Goalkeeper,31,,,,,,25.46401086464464,3,0,,,
adamidah,2019,28,194,273,12,17,273,12,2/11/2001,190,83,Republic of Ireland,High/Medium,74.5,63,64,Forward,18,,,,,,22.991689750692522,3.5,2,,,
adamlallana,2016,63,413,2425,31,31,5339,101,5/10/1988,175,73,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder,28,,,,,,23.836734693877553,4,3,,,
adamlallana,2017,160,413,285,12,14,5339,101,5/10/1988,175,73,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder,29,2425,31,78.22580645,63,31,23.836734693877553,4,3,0,413,63
adamlallana,2018,142,413,505,13,24,5339,101,5/10/1988,175,73,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder,30,2710,43,63.02325581395349,111.5,21.5,23.836734693877553,4,3,1,826,160
adamlallana,2020,48,413,1693,30,31,5339,101,5/10/1988,175,73,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder,32,3215,56,57.410714285714285,121.66666666666667,18.666666666666668,23.836734693877553,4,3,1,1239,142
adamsmith,2017,49,270,2194,27,28,9828,112,4/29/1991,180,79,England,High/Medium,74,67.83333333333333,73.33333333333333,Defender,26,,,,,,24.382716049382715,3.5,1,,,
adamsmith,2017,49,270,2194,27,28,9828,112,4/29/1991,180,79,England,High/Medium,74,67.83333333333333,73.33333333333333,Goalkeeper,26,2194,27,81.25925925925925,49,27,24.382716049382715,3.5,0,0,270,49
adamsmith,2017,49,270,2194,27,28,9828,112,11/23/1992,186.4,70,England,Medium/Medium,,,62.6,Defender,25,4388,54,81.25925925925925,49,27,20.146806903792665,3,1,0,540,49
adamsmith,2017,49,270,2194,27,28,9828,112,11/23/1992,186.4,70,England,Medium/Medium,,,62.6,Goalkeeper,25,6582,81,81.25925925925925,49,27,20.146806903792665,3,0,0,810,49
adamsmith,2018,107,270,2200,25,25,9828,112,4/29/1991,180,79,England,High/Medium,74,67.83333333333333,73.33333333333333,Defender,27,8776,108,81.25925925925925,49,27,24.382716049382715,3.5,1,0,1080,49
adamsmith,2018,107,270,2200,25,25,9828,112,4/29/1991,180,79,England,High/Medium,74,67.83333333333333,73.33333333333333,Goalkeeper,27,10976,133,82.52631578947368,60.6,26.6,24.382716049382715,3.5,0,0,1350,107
adamsmith,2018,107,270,2200,25,25,9828,112,11/23/1992,186.4,70,England,Medium/Medium,,,62.6,Defender,26,13176,158,83.39240506329114,68.33333333333333,26.333333333333332,20.146806903792665,3,1,0,1620,107
adamsmith,2018,107,270,2200,25,25,9828,112,11/23/1992,186.4,70,England,Medium/Medium,,,62.6,Goalkeeper,26,15376,183,84.02185792349727,73.85714285714286,26.142857142857142,20.146806903792665,3,0,0,1890,107
adamsmith,2019,93,270,2155,24,24,9828,112,4/29/1991,180,79,England,High/Medium,74,67.83333333333333,73.33333333333333,Defender,28,17576,208,84.5,78,26,24.382716049382715,3.5,1,0,2160,107
adamsmith,2019,93,270,2155,24,24,9828,112,4/29/1991,180,79,England,High/Medium,74,67.83333333333333,73.33333333333333,Goalkeeper,28,19731,232,85.04741379310344,79.66666666666667,25.77777777777778,24.382716049382715,3.5,0,0,2430,93
adamsmith,2019,93,270,2155,24,24,9828,112,11/23/1992,186.4,70,England,Medium/Medium,,,62.6,Defender,27,21886,256,85.4921875,81,25.6,20.146806903792665,3,1,0,2700,93
adamsmith,2019,93,270,2155,24,24,9828,112,11/23/1992,186.4,70,England,Medium/Medium,,,62.6,Goalkeeper,27,24041,280,85.86071428571428,82.09090909,25.454545454545453,20.146806903792665,3,0,0,2970,93
adamwebster,2019,31,489,2815,31,36,5550,60,1/4/1995,190,75,England,Medium/Medium,66,70.83333333333333,70,Defender,24,,,,,,20.775623268698062,3,1,,,
adamwebster,2020,16,489,2735,29,31,5550,60,1/4/1995,190,75,England,Medium/Medium,66,70.83333333333333,70,Defender,25,2815,31,90.80645161290323,31,31,20.775623268698062,3,1,0,489,31
ademolalookman,2018,78,105,701,21,30,4069,70,10/20/1997,174,76.6,England,High/Medium,82.6,58.8,69.4,Forward,21,,,,,,25.30056810675122,3.5,2,,,
ademolalookman,2020,8,105,2872,34,34,4069,70,10/20/1997,174,76.6,England,High/Medium,82.6,58.8,69.4,Forward,23,701,21,33.38095238095238,78,21,25.30056810675122,3.5,2,0,105,78
adnanjanuzaj,2016,42,272,1715,25,31,1715,25,2/5/1995,184,75.5,Belgium,Medium/Low,78.66666666666667,54.16666666666666,77.5,Midfielder,21,,,,,,22.30033081285444,2.5,3,,,
adrianmariappa,2016,52,52,596,7,17,6575,81,10/3/1986,179.2,79.4,Jamaica,Medium/Medium,64.8,71.4,72.8,Defender,30,,,,,,24.725466358418373,3,1,,,
ahmedelmohamady,2020,54,60,856,14,38,4703,65,9/9/1987,182.33333333333331,78,Egypt,High/Medium,74.5,72.16666666666667,72.33333333333333,Defender,33,,,,,,23.461861107119105,3.5,1,,,
albianajeti,2019,16,32,175,9,28,175,9,2/26/1997,183,77.33333333333333,Switzerland,High/Medium,76.83333333333333,68.83333333333333,69,Forward,22,,,,,,23.092159614599815,3.5,2,,,
aleksandarmitrovic,2017,41,96,119,6,10,5095,70,9/16/1994,188.33333333333331,84.66666666666667,Serbia,Medium/Medium,61.66666666666666,80.83333333333333,76.33333333333333,Forward,23,,,,,,23.870310909233307,3,2,,,
aleksandarmitrovic,2020,17,96,1520,27,30,5095,70,9/16/1994,188.33333333333331,84.66666666666667,Serbia,Medium/Medium,61.66666666666666,80.83333333333333,76.33333333333333,Forward,26,119,6,19.833333333333332,41,6,23.870310909233307,3,2,0,96,41
alexandertettey,2019,46,160,2432,30,33,2432,30,4/4/1986,180,68,Norway,Medium/High,67.16666666666667,79.33333333333333,72.66666666666667,Midfielder,33,,,,,,20.98765432098765,3.5,3,,,
alexandrelacazette,2017,44,151,2291,32,33,8906,128,5/28/1991,175.16666666666666,73.66666666666667,France,High/High,83.16666666666667,74.5,84.5,Forward,26,,,,,,24.008669193672652,4,2,,,
alexandrelacazette,2018,19,151,2635,35,37,8906,128,5/28/1991,175.16666666666666,73.66666666666667,France,High/High,83.16666666666667,74.5,84.5,Forward,27,2291,32,71.59375,44,32,24.008669193672652,4,2,0,151,44
alexandrelacazette,2019,48,151,1965,30,34,8906,128,5/28/1991,175.16666666666666,73.66666666666667,France,High/High,83.16666666666667,74.5,84.5,Forward,28,4926,67,73.52238806,31.5,33.5,24.008669193672652,4,2,0,302,19
alexandrelacazette,2020,1,151,2015,31,36,8906,128,5/28/1991,175.16666666666666,73.66666666666667,France,High/High,83.16666666666667,74.5,84.5,Forward,29,6891,97,71.04123711340206,37,32.333333333333336,24.008669193672652,4,2,0,453,48
alexismacallister,2020,38,38,1178,21,30,1550,30,12/24/1998,175,71,Argentina,Medium/Medium,69.5,57.75,70,Midfielder,22,,,,,,23.183673469387756,3,3,,,
alexiwobi,2016,27,63,1522,26,35,8771,142,5/3/1996,181,73.5,Nigeria,Medium/Medium,77.83333333333333,63.833333333333336,71.83333333333333,Forward,20,,,,,,22.435212600347974,3,2,,,
alexiwobi,2018,1,63,2072,35,36,8771,142,5/3/1996,181,73.5,Nigeria,Medium/Medium,77.83333333333333,63.833333333333336,71.83333333333333,Forward,22,1522,26,58.53846153846154,27,26,22.435212600347974,3,2,0,63,27
alexiwobi,2019,35,63,1657,25,30,8771,142,5/3/1996,181,73.5,Nigeria,Medium/Medium,77.83333333333333,63.833333333333336,71.83333333333333,Forward,23,3594,61,58.91803278688525,14,30.5,22.435212600347974,3,2,0,126,1
alexmccarthy,2016,291,368,0,0,9,9595,101,12/3/1989,193,79,England,Medium/Medium,,,76,Goalkeeper,27,,,,,,21.20862305028323,3,0,,,
alexmccarthy,2018,52,368,2375,25,33,9595,101,12/3/1989,193,79,England,Medium/Medium,,,76,Goalkeeper,29,0,0,,291,0,21.20862305028323,3,0,1,368,291
alexmccarthy,2019,9,368,2660,28,36,9595,101,12/3/1989,193,79,England,Medium/Medium,,,76,Goalkeeper,30,2375,25,95,171.5,12.5,21.20862305028323,3,0,0,736,52
alexmccarthy,2020,16,368,2850,30,37,9595,101,12/3/1989,193,79,England,Medium/Medium,,,76,Goalkeeper,31,5035,53,95,117.33333333333333,17.666666666666668,21.20862305028323,3,0,0,1104,9
alexpritchard,2017,132,191,1088,14,16,3261,44,5/3/1993,171,62,England,High/Medium,70.83333333333333,51,72.5,Midfielder,24,,,,,,21.20310522895934,3.5,3,,,
alexpritchard,2018,16,191,2173,30,37,3261,44,5/3/1993,171,62,England,High/Medium,70.83333333333333,51,72.5,Midfielder,25,1088,14,77.71428571428571,132,14,21.20310522895934,3.5,3,1,191,132
alexsmithies,2018,50,50,0,0,26,0,0,3/5/1990,188.16666666666663,88,England,Medium/Medium,,,71.33333333333333,Goalkeeper,28,,,,,,24.854056946230358,3,0,,,
alfiemawson,2018,193,671,1195,15,19,7370,80,1/19/1994,188.33333333333331,86,England,Medium/High,54.16666666666666,71,69.83333333333333,Defender,24,,,,,,24.24622131725273,3.5,1,,,
alirezajahanbakhsh,2018,68,201,1075,19,24,2008,50,8/11/1993,180,77,Iran,High/High,82.16666666666667,70.16666666666667,74.33333333333333,Forward,25,,,,,,23.76543209876543,4,2,,,
alirezajahanbakhsh,2019,31,201,339,10,19,2008,50,8/11/1993,180,77,Iran,High/High,82.16666666666667,70.16666666666667,74.33333333333333,Forward,26,1075,19,56.578947368421055,68,19,23.76543209876543,4,2,0,201,68
alirezajahanbakhsh,2020,78,201,594,21,27,2008,50,8/11/1993,180,77,Iran,High/High,82.16666666666667,70.16666666666667,74.33333333333333,Forward,27,1414,29,48.758620689655174,49.5,14.5,23.76543209876543,4,2,0,402,31
andrearanocchia,2016,11,50,1404,16,16,1404,16,2/16/1988,195,81,Italy,Low/Medium,41.333333333333336,72.66666666666667,75.83333333333333,Defender,28,,,,,,21.301775147928996,2.5,1,,,
andreaschristensen,2017,12,146,2178,27,36,6219,73,4/10/1996,187.66666666666663,77.83333333333333,Denmark,Low/Medium,64.5,69.66666666666667,77.16666666666667,Defender,21,,,,,,22.09995299224846,2.5,1,,,
andreaschristensen,2018,15,146,655,8,30,6219,73,4/10/1996,187.66666666666663,77.83333333333333,Denmark,Low/Medium,64.5,69.66666666666667,77.16666666666667,Defender,22,2178,27,80.66666666666667,12,27,22.09995299224846,2.5,1,0,146,12
andreaschristensen,2019,40,146,1842,21,35,6219,73,4/10/1996,187.66666666666663,77.83333333333333,Denmark,Low/Medium,64.5,69.66666666666667,77.16666666666667,Defender,23,2833,35,80.94285714285714,13.5,17.5,22.09995299224846,2.5,1,0,292,15
andreaschristensen,2020,54,146,1544,17,23,6219,73,4/10/1996,187.66666666666663,77.83333333333333,Denmark,Low/Medium,64.5,69.66666666666667,77.16666666666667,Defender,24,4675,56,83.48214285714286,22.333333333333332,18.666666666666668,22.09995299224846,2.5,1,0,438,40
andregray,2018,43,102,1465,29,30,6251,115,6/26/1991,180,78,England,High/Medium,88,73.5,74.5,Forward,27,,,,,,24.074074074074073,3.5,2,,,
andrewrobertson,2016,42,79,2887,33,34,15150,165,3/11/1994,178,63.66666666666666,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender,22,,,,,,20.094264192231616,4,1,,,
andrewrobertson,2017,2,79,2038,22,27,15150,165,3/11/1994,178,63.66666666666666,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender,23,2887,33,87.48484848484848,42,33,20.094264192231616,4,1,0,79,42
andrewrobertson,2018,20,79,3384,36,37,15150,165,3/11/1994,178,63.66666666666666,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender,24,4925,55,89.54545454545455,22,27.5,20.094264192231616,4,1,0,158,2
andrewrobertson,2019,11,79,3278,36,36,15150,165,3/11/1994,178,63.66666666666666,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender,25,8309,91,91.30769231,21.333333333333332,30.333333333333332,20.094264192231616,4,1,0,237,20
andrewrobertson,2020,4,79,3563,38,38,15150,165,3/11/1994,178,63.66666666666666,Scotland,High/High,82.33333333333333,72.66666666666667,79.33333333333333,Defender,26,11587,127,91.23622047244095,18.75,31.75,20.094264192231616,4,1,0,316,11
andrewsurman,2016,106,234,1927,22,22,5672,70,8/20/1986,178,73,England,Medium/Medium,59,69.4,74.8,Midfielder,30,,,,,,23.04002019946976,3,3,,,
andrewsurman,2018,82,234,1522,18,30,5672,70,8/20/1986,178,73,England,Medium/Medium,59,69.4,74.8,Midfielder,32,1927,22,87.59090909,106,22,23.04002019946976,3,3,0,234,106
andrewsurman,2019,46,234,251,5,29,5672,70,8/20/1986,178,73,England,Medium/Medium,59,69.4,74.8,Midfielder,33,3449,40,86.225,94,20,23.04002019946976,3,3,0,468,82
andriyyarmolenko,2018,222,419,485,9,9,1979,47,10/23/1989,189.75,82.5,Ukraine,High/Medium,71.75,71.25,79.25,Forward,29,,,,,,22.91344446353898,3.5,2,,,
andriyyarmolenko,2019,82,419,1061,23,24,1979,47,10/23/1989,189.75,82.5,Ukraine,High/Medium,71.75,71.25,79.25,Forward,30,485,9,53.888888888888886,222,9,22.91344446353898,3.5,2,1,419,222
andriyyarmolenko,2020,53,419,433,15,25,1979,47,10/23/1989,189.75,82.5,Ukraine,High/Medium,71.75,71.25,79.25,Forward,31,1546,32,48.3125,152,16,22.91344446353898,3.5,2,0,838,82
androstownsend,2019,65,65,1379,24,29,12810,168,7/16/1991,180,75.66666666666667,England,High/High,82.83333333333333,65,77.33333333333333,Midfielder,28,,,,,,23.353909465020575,4,3,,,
andycarroll,2016,285,949,1375,18,19,3905,82,1/6/1989,192.33333333333331,79,England,Medium/High,54.66666666666666,81.83333333333333,76.66666666666667,Forward,27,,,,,,21.355904712416166,3.5,2,,,
andycarroll,2017,99,949,874,16,21,3905,82,1/6/1989,192.33333333333331,79,England,Medium/High,54.66666666666666,81.83333333333333,76.66666666666667,Forward,28,1375,18,76.38888888888889,285,18,21.355904712416166,3.5,2,1,949,285
andycarroll,2018,337,949,505,12,16,3905,82,1/6/1989,192.33333333333331,79,England,Medium/High,54.66666666666666,81.83333333333333,76.66666666666667,Forward,29,2249,34,66.14705882,192,17,21.355904712416166,3.5,2,0,1898,99
andycarroll,2019,190,949,708,19,21,3905,82,1/6/1989,192.33333333333331,79,England,Medium/High,54.66666666666666,81.83333333333333,76.66666666666667,Forward,30,2754,46,59.869565217391305,240.33333333333334,15.333333333333334,21.355904712416166,3.5,2,1,2847,337
andycarroll,2020,38,949,443,17,35,3905,82,1/6/1989,192.33333333333331,79,England,Medium/High,54.66666666666666,81.83333333333333,76.66666666666667,Forward,31,3462,65,53.261538461538464,227.75,16.25,21.355904712416166,3.5,2,1,3796,190
angelgomes,2018,10,25,35,2,3,71,5,8/31/2000,168.25,61,England,Medium/Medium,74.25,40.75,66,Midfielder,18,,,,,,21.548631242424307,3,3,,,
angeloogbonna,2016,200,281,1850,20,24,12444,135,5/23/1988,191,86,Italy,Medium/Medium,64.66666666666667,75.83333333333333,78.33333333333333,Defender,28,,,,,,23.573915188728378,3,1,,,
angeloogbonna,2019,11,281,2937,31,36,12444,135,5/23/1988,191,86,Italy,Medium/Medium,64.66666666666667,75.83333333333333,78.33333333333333,Defender,31,1850,20,92.5,200,20,23.573915188728378,3,1,1,281,200
angeloogbonna,2020,70,281,2628,28,29,12444,135,5/23/1988,191,86,Italy,Medium/Medium,64.66666666666667,75.83333333333333,78.33333333333333,Defender,32,4787,51,93.86274509803921,105.5,25.5,23.573915188728378,3,1,0,562,11
anthonyknockaert,2020,20,38,0,0,3,4521,63,11/20/1991,172,69,France,High/High,74.5,64.16666666666667,74.83333333333333,Midfielder,29,,,,,,23.323418063818284,4,3,,,
anthonymartial,2016,7,285,1582,25,31,9291,136,12/5/1995,183.4,76,France,Medium/Low,89.6,73,82.8,Forward,21,,,,,,22.595134435103798,2.5,2,,,
anthonymartial,2017,14,285,1671,30,34,9291,136,12/5/1995,183.4,76,France,Medium/Low,89.6,73,82.8,Forward,22,1582,25,63.28,7,25,22.595134435103798,2.5,2,0,285,7
anthonymartial,2018,55,285,1704,27,30,9291,136,12/5/1995,183.4,76,France,Medium/Low,89.6,73,82.8,Forward,23,3253,55,59.14545454545455,10.5,27.5,22.595134435103798,2.5,2,0,570,14
anthonymartial,2019,74,285,2723,32,32,9291,136,12/5/1995,183.4,76,France,Medium/Low,89.6,73,82.8,Forward,24,4957,82,60.451219512195124,25.333333333333332,27.333333333333332,22.595134435103798,2.5,2,0,855,55
anthonymartial,2020,135,285,1611,22,23,9291,136,12/5/1995,183.4,76,France,Medium/Low,89.6,73,82.8,Forward,25,7680,114,67.36842105263158,37.5,28.5,22.595134435103798,2.5,2,0,1140,74
antoneerobinson,2020,10,194,2338,28,31,2338,28,8/8/1997,182,67,United States,Medium/Medium,85.5,63.25,68,Defender,23,,,,,,20.227025721531216,3,1,,,
anwarelghazi,2019,14,25,2148,34,37,3848,62,5/3/1995,189,88.83333333333333,Netherlands,Medium/Low,78.83333333333333,70.16666666666667,74.83333333333333,Midfielder,24,,,,,,24.868658025624516,2.5,3,,,
arongunnarsson,2018,79,332,2368,28,31,2368,28,4/22/1989,177.4,76.4,Iceland,Medium/High,61.8,75.6,70.8,Midfielder,29,,,,,,24.276503014226538,3.5,3,,,
arthurmasuaku,2016,160,321,1026,13,16,6938,92,11/7/1993,179,70,DR Congo,High/Medium,85,71.5,75.66666666666667,Defender,23,,,,,,21.847008520333322,3.5,1,,,
arthurmasuaku,2018,40,321,1862,23,35,6938,92,11/7/1993,179,70,DR Congo,High/Medium,85,71.5,75.66666666666667,Defender,25,1026,13,78.92307692307692,160,13,21.847008520333322,3.5,1,1,321,160
arthurmasuaku,2019,24,321,1030,17,24,6938,92,11/7/1993,179,70,DR Congo,High/Medium,85,71.5,75.66666666666667,Defender,26,2888,36,80.22222222222223,100,18,21.847008520333322,3.5,1,0,642,40
arthurmasuaku,2020,97,321,1045,12,12,6938,92,11/7/1993,179,70,DR Congo,High/Medium,85,71.5,75.66666666666667,Defender,27,3918,53,73.9245283,74.66666666666667,17.666666666666668,21.847008520333322,3.5,1,0,963,24
arturboruc,2016,13,13,3325,35,35,4465,47,2/20/1980,193,87.16666666666667,Poland,Medium/Medium,,,75.33333333333333,Goalkeeper,36,,,,,,23.40107564408888,3,0,,,
ashleybarnes,2016,96,468,1861,28,28,9479,142,10/30/1989,186,80.16666666666667,Austria,High/High,65.33333333333333,79.66666666666667,74.66666666666667,Forward,27,,,,,,23.17223571125756,4,2,,,
ashleybarnes,2017,64,468,2302,36,37,9479,142,10/30/1989,186,80.16666666666667,Austria,High/High,65.33333333333333,79.66666666666667,74.66666666666667,Forward,28,1861,28,66.46428571428571,96,28,23.17223571125756,4,2,0,468,96
ashleybarnes,2019,299,468,1396,19,19,9479,142,10/30/1989,186,80.16666666666667,Austria,High/High,65.33333333333333,79.66666666666667,74.66666666666667,Forward,30,4163,64,65.046875,80,32,23.17223571125756,4,2,0,936,64
ashleybarnes,2020,9,468,1396,22,25,9479,142,10/30/1989,186,80.16666666666667,Austria,High/High,65.33333333333333,79.66666666666667,74.66666666666667,Forward,31,5559,83,66.97590361445783,153,27.666666666666668,23.17223571125756,4,2,1,1404,299
ashleywestwood,2019,24,36,3325,35,35,11680,135,4/1/1990,172.16666666666666,70,England,Medium/Medium,62.5,69.33333333333333,75.5,Defender,29,,,,,,23.615649678705335,3,1,,,
ashleywestwood,2019,24,36,3325,35,35,11680,135,4/1/1990,172.16666666666666,70,England,Medium/Medium,62.5,69.33333333333333,75.5,Midfielder,29,3325,35,95,24,35,23.615649678705335,3,3,0,36,24
ashleywestwood,2020,12,36,3596,38,38,11680,135,4/1/1990,172.16666666666666,70,England,Medium/Medium,62.5,69.33333333333333,75.5,Defender,30,6650,70,95,24,35,23.615649678705335,3,1,0,72,24
ashleywestwood,2020,12,36,3596,38,38,11680,135,4/1/1990,172.16666666666666,70,England,Medium/Medium,62.5,69.33333333333333,75.5,Midfielder,30,10246,108,94.87037037037037,20,36,23.615649678705335,3,3,0,108,12
ashleyyoung,2016,118,125,804,12,21,7134,84,7/9/1985,175,65,England,High/Medium,76.16666666666667,64,78,Defender,31,,,,,,21.224489795918366,3.5,1,,,
ashleyyoung,2018,7,125,2752,30,36,7134,84,7/9/1985,175,65,England,High/Medium,76.16666666666667,64,78,Defender,33,804,12,67,118,12,21.224489795918366,3.5,1,0,125,118
asmirbegovic,2018,13,17,2280,24,36,6080,64,6/20/1987,199.33333333333331,86,Bosnia Herzegovina,Medium/Medium,,,79.33333333333333,Goalkeeper,31,,,,,,21.64405319851009,3,0,,,
axeltuanzebe,2019,113,333,210,5,14,955,18,11/14/1997,185,73.2,England,Medium/Medium,76.4,72.6,71.8,Defender,22,,,,,,21.387874360847334,3,1,,,
axeltuanzebe,2020,123,333,427,8,30,955,18,11/14/1997,185,73.2,England,Medium/Medium,76.4,72.6,71.8,Defender,23,210,5,42,113,5,21.387874360847334,3,1,0,333,113
aymericlaporte,2018,14,358,3227,35,36,6636,75,5/27/1994,189,85,France,Medium/Medium,66.5,79,84.66666666666667,Defender,24,,,,,,23.79552644102909,3,1,,,
aymericlaporte,2019,281,358,1139,15,17,6636,75,5/27/1994,189,85,France,Medium/Medium,66.5,79,84.66666666666667,Defender,25,3227,35,92.2,14,35,23.79552644102909,3,1,0,358,14
aymericlaporte,2020,28,358,1423,16,28,6636,75,5/27/1994,189,85,France,Medium/Medium,66.5,79,84.66666666666667,Defender,26,4366,50,87.32,147.5,25,23.79552644102909,3,1,1,716,281
bacarysagna,2016,163,254,1425,17,24,1425,17,2/14/1983,176,72.5,France,High/Medium,70.25,77.25,77,Defender,33,,,,,,23.405216942148762,3.5,1,,,
bakarysako,2016,79,350,171,7,21,753,27,4/26/1988,183.66666666666663,90.33333333333331,Mali,High/Medium,80,76,74,Midfielder,28,,,,,,26.778567923030565,3.5,3,,,
bakarysako,2017,255,350,538,16,20,753,27,4/26/1988,183.66666666666663,90.33333333333331,Mali,High/Medium,80,76,74,Midfielder,29,171,7,24.428571428571427,79,7,26.778567923030565,3.5,3,0,350,79
bakarysako,2018,16,350,44,4,7,753,27,4/26/1988,183.66666666666663,90.33333333333331,Mali,High/Medium,80,76,74,Midfielder,30,709,23,30.82608695652174,167,11.5,26.778567923030565,3.5,3,1,700,255
bartoszkapustka,2016,2,282,0,0,8,0,0,12/23/1996,179,67,Poland,Medium/Medium,78,53.5,69.33333333333333,Midfielder,20,,,,,,20.91070815517618,3,3,,,
